stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00004006,-22.1828,119.935,480,NA,BONNEY DOWNS,NA,NA,NA
ASN00004007,-20.4,118.4667,6,NA,BOODARIE,NA,NA,NA
ASN00004008,-20.6392,119.2431,120,NA,CARLINDIE,NA,NA,NA
ASN00004009,-20.6833,119.6667,-999.9,NA,COONGAN STATION,NA,NA,NA
ASN00004010,-21.0333,117.1333,200,NA,COOYA POOYA,NA,NA,NA
ASN00004011,-21.4667,119.8333,400,NA,CORUNNA DOWNS,NA,NA,NA
ASN00004012,-20.1764,119.1906,15,NA,DE GREY,NA,NA,NA
ASN00004013,-20.5167,119.6667,-999.9,NA,ETTRICK,NA,NA,NA
ASN00004014,-20.85,119.7667,-999.9,NA,EGINBAH,NA,NA,NA
ASN00004015,-21.7219,119.3989,271,NA,HILLSIDE STATION,NA,NA,NA
ASN00004016,-20.7867,118.5972,80,NA,INDEE,NA,NA,NA
ASN00004017,-21.15,118.1,-999.9,NA,STATION PEAK,NA,NA,NA
ASN00004018,-21.1833,119.8167,-999.9,NA,LIMESTONE,NA,NA,NA
ASN00004019,-19.7419,120.8436,7.5,NA,MANDORA,NA,NA,9420
ASN00004020,-21.1756,119.7497,182.3,NA,MARBLE BAR COMPARISON,NA,NA,NA
ASN00004021,-21.3122,120.0586,270,NA,MOUNT EDGAR,NA,NA,NA
ASN00004022,-20.6333,120.0544,85,NA,MUCCAN,NA,NA,NA
ASN00004023,-20.4619,119.5189,30,NA,MULYIE,NA,NA,NA
ASN00004024,-20.5192,118.0603,20,NA,MUNDABULLANGANA,NA,NA,NA
ASN00004025,-20.5,119.8,-999.9,NA,NIMINGARRA,NA,NA,NA
ASN00004026,-22.2914,120.1761,495,NA,NOREENA DOWNS,NA,NA,NA
ASN00004027,-21.8861,120.1103,380,NA,NULLAGINE,NA,NA,NA
ASN00004028,-20.1078,119.5811,9,NA,PARDOO STATION,NA,NA,9431
ASN00004030,-21.4,119.4,-999.9,NA,PILGA,NA,NA,NA
ASN00004031,-20.6267,117.1925,30,NA,POINT SAMSON,NA,NA,NA
ASN00004032,-20.3725,118.6317,6.4,NA,PORT HEDLAND AIRPORT,GS,N,9431
ASN00004033,-21.0561,117.4436,40,NA,PYRAMID STATION,NA,NA,NA
ASN00004034,-22.0167,121.4,-999.9,NA,RPF 734 MILE,NA,NA,NA
ASN00004035,-20.7767,117.1456,12,NA,ROEBOURNE,NA,NA,9430
ASN00004036,-20.4681,119.0556,67,NA,STRELLEY,NA,NA,NA
ASN00004037,-21.05,120,200,NA,TALGA TALGA,NA,NA,NA
ASN00004038,-20.7483,118.8172,97,NA,WALLAREENYA,NA,NA,NA
ASN00004039,-20.9469,117.3733,30,NA,WARAMBIE,NA,NA,NA
ASN00004040,-20.6472,119.5869,84,NA,WARRALONG,NA,NA,NA
ASN00004041,-20.8503,120.695,159,NA,WARRAWAGINE,NA,NA,NA
ASN00004042,-20.8394,117.8358,32,NA,WHIM CREEK,NA,NA,NA
ASN00004043,-21.9931,119.0131,387,NA,REDMONT,NA,NA,NA
ASN00004044,-19.5,121.3,-999.9,NA,WIDJUP OUTCAMP,NA,NA,NA
ASN00004045,-21.62,118.955,250,NA,ABYDOS WOODSTOCK,NA,NA,NA
ASN00004046,-20.6739,120.2044,100,NA,YARRIE,NA,NA,NA
ASN00004047,-20.8333,118.9,120,NA,TABBA TABBA,NA,NA,NA
ASN00004048,-21.2853,118.4042,120,NA,YANDEEARRA,NA,NA,NA
ASN00004049,-21.6,119.6,-999.9,NA,SPLIT ROCK,NA,NA,NA
ASN00004050,-21.6,119.7,-999.9,NA,YALGOORA,NA,NA,NA
ASN00004051,-20.6,117.8,-999.9,NA,BALLA BALLA,NA,NA,NA
ASN00004052,-20.5667,120.65,-999.9,NA,RPF 80 MILE,NA,NA,NA
ASN00004053,-20,119.4,-999.9,NA,CONDON,NA,NA,NA
ASN00004054,-20.6783,117.1892,7,NA,COSSACK,NA,NA,NA
ASN00004055,-21.1,117.8,-999.9,NA,CROYDON,NA,NA,NA
ASN00004056,-21.1,118.5167,-999.9,NA,KANGAN,NA,NA,NA
ASN00004057,-20.8833,119.15,120,NA,LALLA ROOKH,NA,NA,NA
ASN00004058,-20.7,121.0167,-999.9,NA,LOCHNAVAR,NA,NA,NA
ASN00004059,-20.8822,118.0308,40,NA,MALLINA,NA,NA,NA
ASN00004060,-21.8,120.3,-999.9,NA,MIDDLE CREEK,NA,NA,NA
ASN00004061,-21.1,117.9833,-999.9,NA,MOUNT SATIRIST,NA,NA,NA
ASN00004062,-20.1,119.75,-999.9,NA,MYADEE,NA,NA,NA
ASN00004063,-22.2,120.2,-999.9,NA,POONDAWINDIE,NA,NA,NA
ASN00004064,-20.45,118.8,-999.9,NA,POONDINIA,NA,NA,NA
ASN00004065,-22.7,121.1,-999.9,NA,RPF 672 MILE,NA,NA,NA
ASN00004066,-21.2,121.2,-999.9,NA,RPF 798 MILE,NA,NA,NA
ASN00004067,-20.55,119.3,-999.9,NA,SHAW RIVER,NA,NA,NA
ASN00004068,-19.7789,120.6417,9,NA,WALLAL DOWNS,NA,NA,NA
ASN00004069,-21.3,119.8,-999.9,NA,WARRAWOONA,NA,NA,NA
ASN00004070,-20.9,119.7,-999.9,NA,COONGAN HOTEL,NA,NA,NA
ASN00004071,-21.05,117.45,-999.9,NA,PYRAMID 1,NA,NA,NA
ASN00004072,-20.4833,116.5333,7,NA,ROSEMARY ISLAND,NA,NA,NA
ASN00004074,-20.3422,119.5206,45,NA,GOLDSWORTHY,NA,NA,NA
ASN00004076,-21.175,117.2208,200,NA,HARDING RIVER 2,NA,NA,NA
ASN00004077,-20.7167,120.85,-999.9,NA,BARRAMINE,NA,NA,NA
ASN00004079,-21.3625,118.8783,223,NA,YANDEE,NA,NA,NA
ASN00004080,-20.635,120.5,175,NA,CALLAWA,NA,NA,NA
ASN00004081,-21.4333,119.7833,244,NA,CORUNNA DOWNS AIRSTRIP,NA,NA,NA
ASN00004082,-20.615,117.1633,20,NA,CAPE LAMBERT,NA,NA,NA
ASN00004083,-20.7097,116.7742,7,NA,KARRATHA AERO,NA,NA,9530
ASN00004084,-20.4958,120.1672,164,NA,SHAY GAP,NA,NA,NA
ASN00004085,-21.75,119.1833,-999.9,NA,TAMBOURAH,NA,NA,NA
ASN00004086,-20.8956,117.6447,30,NA,SHERLOCK,NA,NA,NA
ASN00004087,-21.2333,117.05,200,NA,HARDING RIVER 3,NA,NA,NA
ASN00004088,-21.1467,119.4333,200,NA,NORTH POLE,NA,NA,NA
ASN00004089,-20.6744,117.1428,10,NA,WICKHAM,NA,NA,NA
ASN00004090,-20.7594,117.1583,10.7,NA,ROEBOURNE AERO,NA,NA,9430
ASN00004092,-20.9786,117.0953,60,NA,HARDING DAM,NA,NA,NA
ASN00004093,-20.3292,119.1878,60,NA,STRELLEY PUMPING STATION,NA,NA,NA
ASN00004094,-20.4119,120.0103,160,NA,NIMINGARRA MINE,NA,NA,NA
ASN00004096,-22.4272,120.8578,450,NA,MOUNT DIVIDE,NA,NA,NA
ASN00004097,-20.6175,116.7517,48,NA,DAMPIER PORT,NA,NA,NA
ASN00004098,-20.2906,119.28,22,NA,DE GREY BOREFIELD,NA,NA,NA
ASN00004099,-20.7381,116.8489,18,NA,KARRATHA TOWN,NA,NA,NA
ASN00004101,-20.3167,119.3333,-999.9,NA,R 1 BOREHOLE,NA,NA,NA
ASN00004102,-21.2933,120.4658,220,NA,MEENTHEENA,NA,NA,NA
ASN00004103,-21.6672,121.5756,290,NA,NIFTY COPPER MINE,NA,NA,NA
ASN00004104,-20.3736,118.6297,9,NA,PORT HEDLAND MILOS AWS COMPAR,I,NA,NA
ASN00004106,-21.1756,119.7497,182.3,NA,MARBLE BAR,NA,NA,9531
