Sensor,Date_Time,Date,Time,Count
Flinders Street Station Underpass,2019-06-30T22:00:00Z,2019-07-01,8,3936
Birrarung Marr,2019-06-30T22:00:00Z,2019-07-01,8,589
Webb Bridge,2019-06-30T22:00:00Z,2019-07-01,8,540
Southern Cross Station,2019-06-30T22:00:00Z,2019-07-01,8,4217
Victoria Point,2019-06-30T22:00:00Z,2019-07-01,8,673
Waterfront City,2019-06-30T22:00:00Z,2019-07-01,8,127
New Quay,2019-06-30T22:00:00Z,2019-07-01,8,379
Flagstaff Station,2019-06-30T22:00:00Z,2019-07-01,8,NA
Sandridge Bridge,2019-06-30T22:00:00Z,2019-07-01,8,1454
State Library,2019-06-30T22:00:00Z,2019-07-01,8,566
Collins St (North),2019-06-30T22:00:00Z,2019-07-01,8,800
Collins Place (South),2019-06-30T22:00:00Z,2019-07-01,8,2130
Collins Place (North),2019-06-30T22:00:00Z,2019-07-01,8,1685
Chinatown-Swanston St (North),2019-06-30T22:00:00Z,2019-07-01,8,180
Chinatown-Lt Bourke St (South),2019-06-30T22:00:00Z,2019-07-01,8,190
Bourke St-Russell St (West),2019-06-30T22:00:00Z,2019-07-01,8,373
Flinders St-Elizabeth St (East),2019-06-30T22:00:00Z,2019-07-01,8,2613
Spencer St-Collins St (South),2019-06-30T22:00:00Z,2019-07-01,8,1501
Spencer St-Collins St (North),2019-06-30T22:00:00Z,2019-07-01,8,4326
Melbourne Convention Exhibition Centre,2019-06-30T22:00:00Z,2019-07-01,8,NA
QV Market-Elizabeth St (West),2019-06-30T22:00:00Z,2019-07-01,8,510
QV Market-Peel St,2019-06-30T22:00:00Z,2019-07-01,8,NA
The Arts Centre,2019-06-30T22:00:00Z,2019-07-01,8,1634
St Kilda Rd-Alexandra Gardens,2019-06-30T22:00:00Z,2019-07-01,8,285
Lonsdale St (South),2019-06-30T22:00:00Z,2019-07-01,8,386
Lygon St (West),2019-06-30T22:00:00Z,2019-07-01,8,131
City Square,2019-06-30T22:00:00Z,2019-07-01,8,NA
Flinders St-Spring St (West),2019-06-30T22:00:00Z,2019-07-01,8,546
Flinders St-Spark La,2019-06-30T22:00:00Z,2019-07-01,8,310
