state,schtype,yr,birthmonth,birthyr,gender,desk,room,computer,internet,solarpanels,tvs,cars,music_instr,books,birthcnt,mother_birthcnt,father_birthcnt,test_anxiety,ambitious,prefer_team,make_friends_easy,tardy,science_fun,breakfast,work_pay,sport,internet_use,install_software,outhours_study,math_time,read_time,science_time,belong,anxtest,motivat,language,home_edres,home_poss,wealth,stuweight,math,science,read
ACT,Ind,Y10,4,2000,female,1,1,1,1,0036001,3,3,3,5,NA,2,2,3,4,4,2,1,3,NA,NA,NA,6,1,5,240,240,240,0.6897,0.0845,1.8543,313,-0.1108,0.8852,0.5373,4.71832,518.1217000000001,526.8723,533.7999
ACT,Ind,Y10,9,1999,female,1,1,1,1,0036002,3,3,4,3,2,2,2,3,3,3,2,1,4,1,2,1,5,3,13,260,260,260,0.9357,0.5736,1.3961,641,1.1563,0.8369,0.3734,4.71832,675.5779,680.8720000000001,684.8826
ACT,Ind,Y10,6,1999,female,1,1,1,1,0036001,2,3,4,6,1,1,1,3,3,2,3,1,4,1,2,1,2,1,10,195,195,195,-0.7817,0.5209,0.1111,313,1.1563,1.356,0.2928,4.71832,600.1123,652.487,669.8671
ACT,Ind,Y10,6,1999,female,1,1,1,1,0036002,3,3,1,5,1,1,1,2,3,3,2,1,3,1,1,1,6,NA,35,240,240,240,-0.3381,-0.2729,0.4094,313,1.1563,1.2172,0.6958,4.71832,514.7426,563.795,526.8602
ACT,Ind,Y10,7,1999,female,1,1,1,1,0036002,3,2,4,6,1,1,1,4,3,1,4,1,NA,NA,NA,NA,5,NA,8,180,180,180,-0.9857,1.4098,-0.1651,313,1.1563,1.5898,0.6642,4.71832,604.9450999999999,655.4547,614.2434999999999
ACT,Ind,Y10,9,1999,female,1,1,1,1,0036002,3,3,3,5,1,1,1,3,3,2,2,1,3,1,2,1,4,3,12,260,260,260,-0.4838,-0.2039,-0.4495,313,-0.6303,0.8424,0.2622,4.71832,609.2576999999999,648.2795,623.226
ACT,Ind,Y10,7,1999,female,1,1,1,1,0036002,4,3,4,3,2,2,2,3,2,3,1,3,2,1,1,1,4,3,10,260,195,260,0.1618,0.0752,0.3377,313,1.1563,1.4239,1.3731,4.71832,586.3594,633.3469000000001,601.8073
ACT,Ind,Y10,10,1999,male,1,1,1,1,0036001,4,4,4,5,1,2,1,2,3,3,1,2,4,NA,NA,NA,5,4,16,220,220,220,0.3791,-0.3604,-0.4745,313,1.1563,3.0025,4.4269,4.1917,577.4562,607.0634,586.5953999999999
ACT,Ind,Y10,2,2000,male,1,1,1,1,0036001,4,3,1,5,1,1,1,2,3,3,2,2,3,NA,NA,NA,7,NA,3,260,260,260,0.6642,-0.6871,0.4631,313,-0.7218,1.1597,1.1888,4.1917,599.2694,626.3219,609.5618000000001
ACT,Ind,Y10,3,2000,male,1,1,1,1,0036002,4,4,NA,6,1,1,1,3,3,3,2,1,1,1,2,1,NA,NA,NA,240,300,240,-0.3381,-0.5792,-0.4982,313,1.1563,1.9987,1.2638,4.1917,543.9488,606.9462999999998,609.3154999999999
ACT,Ind,Y10,6,1999,male,1,1,1,1,0036001,3,3,2,3,1,1,1,2,4,2,1,2,3,1,1,1,6,2,15,300,300,300,0.2015,-0.6871,1.8543,313,1.1563,0.7994,0.4035,4.1917,561.4839,519.6225000000001,501.6335000000001
ACT,Ind,Y10,11,1999,male,1,1,1,1,,3,3,3,3,1,2,2,4,3,3,2,1,3,1,2,1,5,4,35,300,300,300,0.0248,1.5125,0.1609,415,1.1563,0.5299,0.3132,4.1917,572.2026,577.7899,540.3293000000001
ACT,Ind,Y10,11,1999,male,1,1,1,1,0036001,2,3,4,3,2,1,1,2,3,3,2,1,3,1,2,1,NA,NA,20,260,260,260,-0.3381,-0.6871,-0.1651,313,0.0321,0.9255,1.6909,4.1917,550.0150999999998,642.6969,602.3911999999999
ACT,Ind,Y10,2,2000,male,1,1,1,1,0036002,4,3,4,5,1,1,1,1,3,3,2,1,3,NA,NA,NA,4,4,12,325,325,325,1.398,-1.7918,1.3961,313,1.1563,1.9813,1.2376,4.1917,686.77,700.4198000000001,629.8327999999999
